@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
63.64,25,39,14,8.26,6.55,0.77,8.26,661.1,82.64,106.25,1,1.285697,PASSED
54.55,20,32,12,7.91,6.32,0.81,7.91,633,79.13,93.58,2,1.182611,PASSED
54.55,20,31,11,7.75,6.22,0.79,7.75,620.3,77.54,90.59,2,1.1683,PASSED
54.55,28,43,15,9.1,7.08,0.76,9.1,727.9,90.99,101.55,2,1.116057,PASSED
54.55,19,31,12,4.93,4.24,0.75,4.93,394.2,49.27,60.54,2,1.22874,PASSED
63.64,19,35,16,8.2,6.51,0.71,8.2,655.7,81.96,95.2,1,1.161542,PASSED
54.55,19,34,15,8.12,6.45,0.93,8.12,649.3,81.16,125.85,2,1.550641,PASSED
54.55,19,32,13,10.11,7.69,0.71,10.11,808.8,101.1,151.76,2,1.501088,PASSED
45.45,21,34,13,9.82,7.52,0.77,9.82,785.8,98.23,139.03,3,1.415352,PASSED
54.55,20,33,13,9.77,7.48,0.73,9.77,781.2,97.65,132.41,2,1.355965,PASSED
54.55,24,39,15,9.04,7.04,0.76,9.04,723.5,90.44,109.28,2,1.208315,PASSED
45.45,16,31,15,5.6,4.73,0.73,5.6,447.7,55.96,94.03,3,1.680307,PASSED
