@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,8426.25,2100.75,22,35,53.85,22,35,13,-89.25,7.91,6.32,1.46,7.91,790.63,579.54,335869.14,6325.5,843.4,105.43,77.27,5971.01,335869.14,1,0.732903
PASSED,7004.25,2918.25,20,35,38.46,20,35,15,-539.25,5.11,4.38,0.73,5.11,510.75,853.9,729144.28,4086,544.8,68.1,113.85,12962.57,729144.28,3,1.671806
PASSED,9238.5,2987.25,26,39,53.85,26,39,13,-266.25,7.81,6.26,0.88,7.81,781.38,685.87,470415.58,6251.25,833.5,104.19,91.45,8362.94,470415.58,1,0.877723
PASSED,8442,3181.5,21,35,53.85,21,35,14,-245.25,6.58,5.43,0.71,6.57,657.5,602.09,362509.42,5260.5,701.4,87.68,80.28,6444.61,362509.42,1,0.915602
PASSED,9532.5,3711.75,24,39,53.85,24,39,15,-30,7.28,5.9,0.8,7.28,727.5,496.93,246937.85,5820.75,776.1,97.01,66.26,4390.01,246937.85,1,0.683022
PASSED,8493.75,3181.5,22,36,53.85,22,36,14,-245.25,6.64,5.47,0.72,6.64,664,609.94,372022.73,5312.25,708.3,88.54,81.32,6613.74,372022.73,1,0.918455
PASSED,8663.25,2100.75,23,36,53.85,23,36,13,-89.25,8.2,6.51,1.5,8.2,820.25,608.79,370619.27,6562.5,875,109.38,81.17,6588.79,370619.27,1,0.742092
PASSED,7858.5,2509.5,23,36,53.85,23,36,13,-129,6.69,5.5,0.9,6.69,668.63,550.13,302639.63,5349,713.2,89.15,73.35,5380.26,302639.63,1,0.822771
PASSED,8496.75,2532.75,20,35,53.85,20,35,15,-212.25,7.45,6.02,1.09,7.45,745.5,617.58,381406.64,5964,795.2,99.4,82.34,6780.56,381406.64,1,0.82837
PASSED,8625.75,2100.75,23,36,53.85,23,36,13,-89.25,8.16,6.48,1.49,8.16,815.63,603.57,364302.56,6525,870,108.75,80.48,6476.49,364302.56,1,0.740046
PASSED,8323.5,2532.75,20,35,53.85,20,35,15,-212.25,7.24,5.88,1.05,7.24,723.75,595.03,354056.84,5790.75,772.1,96.51,79.34,6294.34,354056.84,1,0.822091
PASSED,7966.5,3741.75,22,40,30.77,22,40,18,-320.25,5.28,4.5,0.71,5.28,528,1000.29,1000572.54,4224.75,563.3,70.41,133.37,17787.96,1000572.54,4,1.894191
PASSED,7478.25,2667.75,20,35,30.77,20,35,15,-342,6.01,5.03,1.04,6.01,601.25,1044.09,1090129.05,4810.5,641.4,80.17,139.21,19380.07,1090129.05,4,1.736435
PASSED,9596.25,3028.5,26,37,53.85,26,37,11,-164.25,8.21,6.51,0.78,8.21,820.88,646.03,417348.7,6567.75,875.7,109.46,86.14,7419.53,417348.7,1,0.786954
PASSED,9143.25,3795.75,26,42,30.77,26,42,16,-218.25,6.68,5.5,0.79,6.68,668.38,1034.41,1070008.28,5347.5,713,89.12,137.92,19022.37,1070008.28,4,1.547576
PASSED,8279.25,2694.75,22,35,53.85,22,35,13,-230.25,6.98,5.7,1.09,6.98,698,680.99,463751.69,5584.5,744.6,93.08,90.8,8244.47,463751.69,1,0.975505
PASSED,8502.75,3087,22,36,53.85,22,36,14,-317.25,6.77,5.56,0.73,6.77,676.88,621.1,385765.45,5415.75,722.1,90.26,82.81,6858.05,385765.45,1,0.917461
PASSED,9393,3111.75,27,38,61.54,27,38,11,23.25,7.85,6.28,0.85,7.85,785.13,539.13,290655.91,6281.25,837.5,104.69,71.88,5167.22,290655.91,0,0.686599
PASSED,7175.25,2838.75,20,35,30.77,20,35,15,-333.75,5.42,4.61,0.75,5.42,542,1041.56,1084838.03,4336.5,578.2,72.27,138.87,19286.01,1084838.03,4,1.921544
PASSED,9355.5,2926.5,24,36,53.85,24,36,12,-108.75,8.04,6.4,0.91,8.04,803.63,651.68,424683.98,6429,857.2,107.15,86.89,7549.94,424683.98,1,0.810919
PASSED,8187,2448.75,22,35,53.85,22,35,13,-129,7.17,5.83,0.87,7.17,717.25,601.67,362009.95,5738.25,765.1,95.64,80.22,6435.73,362009.95,1,0.83877
PASSED,9557.25,3618,30,46,53.85,30,46,16,-266.25,7.42,6,0.85,7.42,742.38,719.18,517218.95,5939.25,791.9,98.99,95.89,9195,517218.95,1,0.968684
PASSED,7800.75,3579.75,27,45,38.46,27,45,18,-456.75,5.28,4.5,0.72,5.28,527.63,963.43,928199.81,4221,562.8,70.35,128.46,16501.33,928199.81,3,1.826013
