Strategy name,Filters result,Symbol,Gross profit (IS),Gross loss (IS),Avg. Profit Per Year (IS),numberof profits (IS),numberof trades (IS),% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Worst Year Profit (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),AvgProfit Per Year (IS),Standard Deviation of Profit Per Year (IS),Varianceof Profit Per Year (IS),Net profit (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Variance of Yearly Profit In Pips (IS),Variance of Profit Per Year (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS)
Strategy 0.563,FAILED,AUDCAD_M1_UTC2,4710.0,1630.5,384.88,23,32,63.64,23,32,9,-79.5,3.85,3.41,0.78,3.85,384.88,391.48,153252.95,3079.5,410.6,51.33,52.2,2724.5,153252.95,1,1.016949153,-564.75
Strategy 0.5754,PASSED,AUDCAD_M1_UTC2,5351.25,2100.75,406.25,20,32,54.55,20,32,12,-96.0,4.06,3.58,0.91,4.06,406.25,523.82,274391.27,3250.5,433.4,54.17,69.84,4878.07,274391.27,2,1.289274506,87.0
Strategy 0.612,FAILED,AUDCAD_M1_UTC2,8252.25,3255.75,624.5,21,33,45.45,21,33,12,-285.75,6.25,5.2,0.72,6.25,624.5,967.57,936185.03,4996.5,666.2,83.27,129.01,16643.29,936185.03,3,1.549297466,-584.25
Strategy 0.626,PASSED,AUDCAD_M1_UTC2,4226.25,1728.75,312.13,20,32,54.55,20,32,11,-273.0,3.12,2.83,0.9,3.12,312.13,432.67,187203.48,2497.5,333.0,41.62,57.69,3328.06,187203.48,2,1.386112446,129.75
Strategy 0.85,FAILED,AUDCAD_M1_UTC2,2225.25,817.5,175.88,22,32,63.64,22,32,10,-144.0,1.76,1.66,0.88,1.76,175.88,234.53,55002.37,1407.75,187.7,23.46,31.27,977.82,55002.37,1,1.332907076,-309.0
Strategy 0.862,FAILED,AUDCAD_M1_UTC2,8192.25,3255.75,617.0,21,33,45.45,21,33,12,-285.75,6.17,5.14,0.71,6.17,617.0,955.88,913715.97,4936.5,658.2,82.27,127.45,16243.84,913715.97,3,1.549167376,-584.25
Strategy 0.873,FAILED,AUDCAD_M1_UTC2,5828.25,2117.25,463.88,21,32,72.73,21,32,11,11.25,4.64,4.02,0.95,4.64,463.88,565.57,319868.58,3711.0,494.8,61.85,75.41,5686.55,319868.58,0,1.219240097,-14.25
template,FAILED,AUDCAD_M1_UTC2,8164.5,2624.25,692.5,19,32,63.64,19,32,13,-336.75,6.93,5.67,0.73,6.93,692.5,860.84,741052.12,5540.25,738.7,92.34,114.78,13174.26,741052.12,1,1.243014945,-700.5
Strategy 0.1078,FAILED,AUDCAD_M1_UTC2,6798.0,2692.5,513.13,23,40,53.85,23,40,17,-189.75,5.13,4.39,0.86,5.13,513.13,501.49,251493.16,4105.5,547.4,68.43,66.87,4470.99,251493.16,1,0.977202981,-104.25
Strategy 0.1132,FAILED,AUDCAD_M1_UTC2,5056.5,2167.5,361.13,22,36,61.54,22,36,14,66.0,3.61,3.22,0.75,3.61,361.13,307.31,94441.22,2889.0,385.2,48.15,40.98,1678.95,94441.22,0,0.851090343,-70.5
Strategy 0.142,FAILED,AUDCAD_M1_UTC2,3277.5,1275.75,250.13,23,33,46.15,23,33,10,-49.5,2.5,2.31,0.86,2.5,250.13,291.23,84815.44,2001.75,266.9,33.36,38.83,1507.83,84815.44,2,1.163968825,-43.5
Strategy 0.1513,FAILED,AUDCAD_M1_UTC2,5554.5,2046.0,438.5,22,33,53.85,22,33,11,-108.0,4.39,3.83,0.76,4.39,438.5,351.57,123601.47,3508.5,467.8,58.48,46.88,2197.36,123601.47,1,0.801641587,-178.5
