Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.2022,NZDCAD_M1_UTC2,36.36,27,44,17,6.11,5.1,0.8,6.11,651.5,81.44,124.45,4,1.528118861,-468.0,FAILED
Strategy 0.2035,NZDCAD_M1_UTC2,45.45,23,33,10,5.81,4.89,0.74,5.81,620.0,77.5,117.48,3,1.515870968,-230.25,FAILED
Strategy 0.2134,NZDCAD_M1_UTC2,36.36,21,34,13,6.44,5.33,0.86,6.44,687.3,85.91,129.67,4,1.509370271,-468.0,FAILED
Strategy 0.2173,NZDCAD_M1_UTC2,63.64,22,33,11,7.83,6.27,1.42,7.83,834.9,104.36,126.51,1,1.212246071,-393.0,FAILED
Strategy 0.241,NZDCAD_M1_UTC2,63.64,21,32,11,7.79,6.24,1.41,7.78,830.4,103.8,125.38,1,1.207899807,-393.0,FAILED
Strategy 0.2419,NZDCAD_M1_UTC2,54.55,19,35,16,4.82,4.16,0.76,4.82,513.6,64.2,89.61,2,1.395794393,-221.25,FAILED
Strategy 0.2421,NZDCAD_M1_UTC2,54.55,23,41,18,4.57,3.97,0.74,4.57,487.5,60.94,86.52,2,1.419757138,-230.25,FAILED
Strategy 0.245,NZDCAD_M1_UTC2,45.45,17,32,15,4.75,4.11,0.77,4.75,506.3,63.29,97.3,3,1.537367673,-207.75,FAILED
Strategy 0.2493,NZDCAD_M1_UTC2,45.45,18,33,15,4.83,4.17,0.78,4.83,515.0,64.37,99.33,3,1.543110144,-207.75,FAILED
Strategy 0.2519,NZDCAD_M1_UTC2,45.45,17,33,16,4.57,3.97,0.79,4.57,487.8,60.97,100.71,3,1.651795965,-230.25,FAILED
Strategy 0.2538,NZDCAD_M1_UTC2,54.55,20,32,11,7.07,5.77,1.16,7.07,754.5,94.31,136.34,2,1.445657937,-306.0,FAILED
Strategy 0.2549,NZDCAD_M1_UTC2,54.55,18,34,16,4.45,3.88,0.78,4.45,474.7,59.34,83.54,2,1.407819346,-94.5,FAILED
Strategy 0.2564,NZDCAD_M1_UTC2,36.36,21,33,12,4.8,4.15,0.79,4.8,512.4,64.05,105.02,4,1.639656518,-231.0,FAILED
Strategy 0.2601,NZDCAD_M1_UTC2,36.36,20,32,12,5.08,4.36,0.84,5.08,542.3,67.79,111.2,4,1.640359935,-231.0,FAILED
Strategy 0.2615,NZDCAD_M1_UTC2,36.36,20,33,13,5.96,5.0,0.82,5.97,636.2,79.52,123.62,4,1.554577465,-411.0,FAILED
Strategy 0.2634,NZDCAD_M1_UTC2,54.55,24,37,13,6.9,5.65,1.05,6.9,735.6,91.95,110.78,2,1.204785209,-498.0,FAILED
Strategy 0.2710,NZDCAD_M1_UTC2,45.45,28,43,15,6.84,5.6,0.97,6.84,729.1,91.14,130.76,3,1.434715822,-363.0,FAILED
Strategy 0.2826,NZDCAD_M1_UTC2,54.55,23,32,9,3.84,3.4,0.72,3.84,409.1,51.14,71.16,2,1.391474384,-155.25,FAILED
Strategy 0.2939,NZDCAD_M1_UTC2,54.55,22,38,16,5.45,4.63,0.72,5.45,581.4,72.67,96.26,2,1.324618137,-221.25,FAILED
Strategy 0.297,NZDCAD_M1_UTC2,36.36,20,32,12,6.61,5.45,0.89,6.61,705.3,88.16,133.98,4,1.519736842,-468.0,FAILED
Strategy 0.3027,NZDCAD_M1_UTC2,36.36,26,41,15,5.42,4.6,0.74,5.42,578.0,72.25,120.13,4,1.662698962,-411.0,FAILED
Strategy 0.3112,NZDCAD_M1_UTC2,45.45,23,33,10,4.78,4.13,0.87,4.78,509.4,63.67,98.45,3,1.546254123,-316.5,FAILED
Strategy 0.3271,NZDCAD_M1_UTC2,45.45,29,44,15,6.64,5.47,1.0,6.64,708.4,88.55,116.79,3,1.318915867,-498.0,FAILED
Strategy 0.3276,NZDCAD_M1_UTC2,45.45,20,33,13,3.52,3.15,0.71,3.52,375.2,46.9,77.97,3,1.662473348,-136.5,FAILED
Strategy 0.330,NZDCAD_M1_UTC2,54.55,16,32,16,4.71,4.08,0.83,4.71,502.8,62.85,89.3,2,1.420843278,-94.5,FAILED
Strategy 0.3331,NZDCAD_M1_UTC2,54.55,18,34,16,4.36,3.81,0.76,4.36,465.2,58.15,82.24,2,1.414273431,-94.5,FAILED
Strategy 0.334,NZDCAD_M1_UTC2,45.45,17,33,16,4.25,3.73,0.73,4.25,453.5,56.69,93.09,3,1.642088552,-230.25,FAILED
Strategy 0.3366,NZDCAD_M1_UTC2,54.55,17,33,16,4.71,4.08,0.83,4.71,502.7,62.84,89.26,2,1.420432845,-94.5,FAILED
Strategy 0.3403,NZDCAD_M1_UTC2,54.55,24,38,14,7.46,6.02,1.05,7.45,795.2,99.4,133.96,2,1.347686117,-363.0,FAILED
Strategy 0.3576,NZDCAD_M1_UTC2,36.36,21,36,15,6.21,5.17,0.81,6.21,662.3,82.79,122.72,4,1.482304626,-468.0,FAILED
Strategy 0.3631,NZDCAD_M1_UTC2,63.64,25,41,16,7.11,5.79,1.14,7.11,758.2,94.77,112.93,1,1.191621821,-393.0,FAILED
